price,price_m2,area_m2,address,url
,,Plotas,,
100 200 €,3 330                                    €/m²,30.1,Pašilaičiai Medeinos g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-medeinos-g-medeinos-namai-lietuviu-mitologijos-ir-1-3494645/?search_pos=107
315 000 €,4 139                                    €/m²,76.1,Burbiškės Burbiškių g.,https://www.aruodas.lt/butai-vilniuje-burbiskes-burbiskiu-g-miskingoje-vilniaus-miesto-dalyje-burbiskese-1-3593229/?search_pos=108
151 000 €,4 068                                    €/m²,37.1,Naujamiestis Naugarduko g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-naugarduko-g-atraskite-naujamiescio-ir-vilkpedes-1-3600792/?search_pos=109
123 300 €,4 094                                    €/m²,30.1,Naujamiestis Naugarduko g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-naugarduko-g-atraskite-naujamiescio-ir-vilkpedes-1-3600790/?search_pos=110
165 300 €,3 597                                    €/m²,46,Naujamiestis Panerių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-paneriu-g-pasinerkite-i-tris-kartus-zavesni-naujamiesti-1-3600780/?search_pos=111
163 800 €,3 784                                    €/m²,43.3,Naujamiestis Panerių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-paneriu-g-pasinerkite-i-tris-kartus-zavesni-naujamiesti-1-3600776/?search_pos=112
131 300 €,4 640                                    €/m²,28.3,Naujamiestis Panerių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-paneriu-g-pasinerkite-i-tris-kartus-zavesni-naujamiesti-1-3594982/?search_pos=113
129 000 €,4 541                                    €/m²,28.4,Naujamiestis Panerių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-paneriu-g-pasinerkite-i-tris-kartus-zavesni-naujamiesti-1-3567257/?search_pos=114
130 400 €,4 609                                    €/m²,28.3,Naujamiestis Panerių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-paneriu-g-pasinerkite-i-tris-kartus-zavesni-naujamiesti-1-3567263/?search_pos=115
211 157 €,4 650                                    €/m²,45.4,Markučiai Manufaktūrų g.,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-butas-su-daline-apdaila-projekte-1-3607384/?search_pos=116
